Team name,Description,Methods,Citation,Home,Abbreviation
Robert Walraven,Multiple skewed gaussian distribution peaks fit to raw data,"The existing case and death raw data is cleaned slightly for anomolies, then is fit with model consisting of one or more skewed gaussian distributions using a distribution model I developed.  The model estimates the height, position, and spread of each peak that appears in the data and can be used to project ahead with reasonable results. This is an emperical approach that makes no epidemiological assumptions but simply fits the existing data as well as possible. The model assumes that the effects of current interventions are reflected in the observed data and that those effects will continue going forward.",Missing,http://rwalraven.com/COVID19,RobertWalraven-ESG
COVID-19 Forecast Hub,This model is a baseline predictive model.,"For predictions of incidence, the median prediction at all future horizons is the most recent observed incidence.  Predictions of cumulative counts are derived from predictions of incidence; this means that the slope of the predictive medians for cumulative quantities from one week to the next will be constant and equal to the last observed slope.  To get a distribution around the median, we look at how much incidence has changed from week to week in the past, and we allow for the possibility that similar changes will occur again in the future.
In more technical detail, forecasts of incidence are generated through the following procedure: 1) Calculate first differences of incidence; 2) Collect all first differences and their negatives; 3) Sample first differences in incidence and add to the most recent observed incidence; 4) Enforce that the mean of the predictive distribution for incidence is equal to the most recent observed incidence; 5) truncate the predictive distribution for incidence at 0.  Forecasts of cumulative quantities are obtained by adding forecasts of incidence to the last observed cumulative value.",Missing,https://covid19forecasthub.org/,COVIDhub-baseline
EpiForecasts group at the London School of Hygiene & Tropical Medicine,"A deaths forecast using a mean ensemble of three different models: An Rt based forecast, a timeseries forecast using deaths only and a timeseries forecast using deaths and cases.",2020-06-15: A deaths forecast using the renewal equation and time-series forecasts of the time-varying reproduction number; to be updated as an ensemble forecast. 2020-07-13: The models included are: 1) A deaths forecast using the renewal equation to estimate Rt and project it into the future. For details see github.com/epiforecasts/EpiSoon and github.com/epiforecasts/EpiNow. 2) A timeseries based on the forecastHybrid package and 3) a second timeseries model that also uses cases as a predictor.,https://doi.org/10.12688/wellcomeopenres.16006.1,https://github.com/epiforecasts/covid-us-deaths,epiforecasts-ensemble1
University of Georgia Center for the Ecology of Infectious Diseases Forecasting Working Group,We use a random walk model without drift. The last few observations of a target time series are used to estimate the variance in step size of the random walk.,Missing,Missing,https://github.com/e3bo/random-walks,CEID-Walk
UT-Austin COVID-19 Consortium,"This model makes predictions assuming that social distancing patterns, as measured by anonymized mobile-phone GPS traces,  remain constant in the future.This model models only *first-wave deaths*.","For each US state, we use local data from mobile-phone GPS traces made available by [SafeGraph] to quantify the changing impact of social-distancing measures on ``flattening the curve.''  SafeGraph is a data company that aggregates anonymized location data from numerous applications in order to provide insights about physical places. To enhance privacy, SafeGraph excludes census block group information if fewer than five devices visitedan establishment in a month from a given census block group.  These data are aggregated by state to create metrics of social distancing, which are used as predictors in the model. We use a Bayesian multilevel negative binomial regression model for the number of deaths for each day, and implement the model in R using the rstanarm package. See technical report at https://covid-19.tacc.utexas.edu/media/filer_public/87/63/87635a46-b060-4b5b-a3a5-1b31ab8e0bc6/ut_covid-19_mortality_forecasting_model_latest.pdf",Missing,https://covid-19.tacc.utexas.edu/projections/,UT-Mobility
MOBS Lab at Northeastern,"This model makes predictions about the future that are dependent on the assumption  that current interventions continue. Metapopulation, age structured SLIR model.","This model makes predictions about the future that are dependent on the assumption  that current interventions continue.  The GLEAM framework is based on a metapopulation approach in which the world is divided into geographical subpopulations. Human mobility between subpopulations is represented on a network.  This mobility data layer identifies the numbers of individuals traveling from one sub-population to  another. The mobility network is made up of different kinds of mobility processes, from short-range commuting between nearby subpopulations to intercontinental flights. To model short-range mobility  such as commuting or car travel, we rely on databases collected from the Offices of Statistics of 30  countries on five continents. Superimposed on the worldwide population and mobility layers is an  agent-based epidemic model that defines the infection and population dynamics.",https://uploads-ssl.webflow.com/58e6558acc00ee8e4536c1f5/5e8bab44f5baae4c1c2a75d2_GLEAM_web.pdf,https://covid19.gleamproject.org/,MOBS-GLEAM_COVID
Predictive Science Inc,"A stochastic/deterministic, single-population SEIRX model that stratifies by both age distribution and disease severity and includes generic intervention fitting.","Deterministic fit of a compartmental SEIRX model to cumulative death profiles, followed by stochastic simulations using the optimal parameters. All compartments are stratified by age. 'I' compartments are additionally divided by disease severity into Asymptomatic, Mild, Flu-like, and Severe.  Severe disease is defined by the need for an ICU bed. Interventions are fit generically to an n-value smooth function.  Forward projections are conditional on interventions/reproductive number remaining unchanged.
 Updates:
 July 20 - model is fit using MCMC procedure
 August 10 - R(t) is fit using n=3, 4, and 5 values. The n-value resulting in the lowest AICc score is used for the forecast.",Missing,https://github.com/reichlab/covid19-forecast-hub/tree/master/data-processed/PSI-DRAFT,PSI-DRAFT
MSRA,Our model is a deep spatio-temporal network with knowledge based SEIR as a regularier under the assumption of spatio-temporal process in pandemic of different regions.,Missing,Missing,https://covid.msra.cn,MSRA-DeepST
"University of Virginia, Biocomplexity COVID-19 Response Team","An ensemble of multiple methods such as auto-regressive (AR) models with exogenous variables, Long short-term memory (lSTM) models, and PatchSim (an SEIR model).","This is a US national, state, and  county-level multi-method model forecasting the new confirmed cases. Multiple methods include AR methods with exogenous variables such as mobility, other county case counts time-series, an LSTM model with mobility data as additional predictor, and PatchSim, variant of SEIR with interaction  between counties modeled using commuter data (model calibrated on new confirmed cases). The model forecasts are combined using Bayesian model averaging.",Missing,https://biocomplexity.virginia.edu/,UVA-Ensemble
John Burant (JCB),The Political Realities Model (PRM) is built on observations of macro-level societal and political responses to COVID measured only in terms of infections and deaths.,"The Political Realities Model (PRM) is built on observations of macro-level societal and political responses to COVID19 characterized only in terms of infections and deaths. The starting point of the model is the hypothesis that although individuals and policy makers have responded to the epidemic with a wide variety of behavioral modifications and policy actions, the actual net impact of the measures taken, though not identical across time or geography, is predictable. Moreover, these predictions can be based upon what a society and its elected officials have demonstrated it (they) will accept as a reasonable aggregate impact from COVID19. This model seeks to identify one or more ""acceptability"" range(s) from observation of the epidemic up to the current time and to understand how much impact on infection rates is achieved by responses in this (these) range(s). Deaths, in turn, are related to infections via a simple (time- and geographically-varying) phenomenological model derived through fitting. This allows the model to build in spatiotemporal variation in the demographics of the population, its access to health care & COVID testing, and the actual infection fatality rate without explicitly considering these factors. At present the model is deterministic rather than probabilistic, and so only provides point forecasts. The model considers the United States at the state level.",Missing,https://github.com/JohnBurant/COVID19-PRM,JCB-PRM
Discrete Dynamical Systems,Jointly modeling daily deaths and cases using a negative binomial distribution based nonparametric Bayesian generalized linear dynamical system.,"We introduce negative binomial linear dynamical system (NBDS) to jointly model daily deaths and cases reported at all 50 US States and D.C. NBDS is a nonparametric Bayesian hierarchical model built on the graph gamma process (GGP). Generated from the GGP is an infinite dimensional directed sparse random graph, which is constructed by taking the OR operation of countably infinite binary adjacency matrices that share the same set of countably infinite nodes. Each of these adjacency matrices is associated with a weight to indicate its overall activation strength, and places a finite number of edges between a finite subset of nodes belonging to the same community. We use the generated random graph, whose number of nonzero-degree nodes is finite, to define both the sparsity patterns and dimensions of the latent state transition matrices of generalized linear dynamical systems. We show how the formed overlapping communities in the latent space can provide interpretable latent transition patterns of the COVID-19 time series, providing good predictive performance and uncertainty estimation.",https://dds-covid19.github.io/,https://dds-covid19.github.io/,DDS-NBDS
The University of Michigan,Nation-level model of confirmed cases and deaths based on ridge regression.  No assumptions made about social distancing.,"This model uses ridge regression (penalized Ordinary Least Squares regression) to make predictions about future confirmed case and mortality trends.  The model makes forecasts based solely on previous data, so no external  assumptions are necessary.    
The ridge regressors built for this model use Finite Impulse Response (FIR)  filtration to predict each day's confirmed cases and deaths as a function of  the counts on previous days. Specifically, each day's counts are predicted as  a linear combination of the counts on a user-specified number of previous days.  The goal of the regressors is the determination of an optimal coefficient vector  for these predictive linear combinations. The model currently makes predictions  based on the previous 14 days.
Once the regressors are created, bootstrapping is used to create a spectrum of predictions, from which quantiles are determined.",Missing,https://gitlab.com/sabcorse/covid-19-collaboration,UMich-RidgeTfReg
Los Alamos National Labs,"This model makes predictions about the future, unconditional on particular intervention strategies. Statistical dynamical growth model accounting for population susceptibility.","This model makes predictions about the future, unconditional on particular  intervention strategies. The model consists of two processes. The first process  is a statistical model of how the  number of COVID-19 infections changes over time. The second process maps the number of  infections to the reported data. We model the growth of new cases as the product of a  dynamic growth parameter and the underlying numbers of susceptible and infected cases  in the population at the previous time step, scaled by the size of the state's starting  susceptible population. Change 2020-10-29: The growth parameter can be thought of as the transmissibility of the virus in that state on that date and is a weighted regression between the   trend in the growth rate over the past 42 days and a growth rate that would keep  the number of new daily confirmed cases constant. The weights of these two components are dynamically tuned to the observed data. To model new deaths in the population, we assume that a fraction of the 1,2,3,4, or 5-week moving average of the daily  confirmed cases will die. The model learns both the moving average window and the case fatality fraction that best fits the historical observations.",Missing,https://covid-19.bsvgateway.org/,LANL-GrowthRate
UMass-Amherst,Bayesian compartmental model with observations on cumulative case counts and cumulative deaths. Model is fit independently to each state. Model includes observation noise and a case detection rate.,See GitHub for full description,Missing,https://github.com/dsheldon/covid,UMass-MechBayes
LockNQuay,County-level ensemble of boosted tree and neural net models. Lots of engineered features.,"https://www.kaggle.com/c/m5-forecasting-uncertainty/discussion/163368,  https://www.kaggle.com/aerdem4/covid-19-w5-pipeline",https://www.kaggle.com/c/covid19-global-forecasting-week-5/overview,https://www.kaggle.com/sasrdw/locknquay,LNQ-ens1
Columbia_UNC,A survival-convolution model with piece-wise transmission rates that incorporates latent incubation period and provides time-varying effective reproductive number.,"We predict COVID-19 daily new cases using a robust and parsimonious survival-convolution model. We account for transmission during the pre-symptomatic incubation period, use a time-varying effective reproductive number (Rt) to reflect the temporal trend of transmission and change in response to a public health intervention, and quantify uncertainty by permutation. We use a regression model to predict cumulative deaths from estimated time-lagged cumulative total number of COVID-19 cases.",https://www.frontiersin.org/articles/10.3389/fpubh.2020.00325/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Public_Health&id=561170,https://github.com/COVID19BIOSTAT/covid19_prediction,Columbia_UNC-SurvCon
University of Geneva / Swiss Data Science Center,"We calculate the growth rate of cumulative cases (resp. deaths) between two days ago and today.  If greater than 5%, we use an exponential model to forecast. Otherwise, we use a linear model.","""We calculate the growth rate of cumulative cases (resp. deaths) between two days ago and today.  If it's greater than 5%, we use an exponential model to forecast the cumulative number of cases (resp. deaths),  and then derive the daily number of cases (resp. deaths). If it's less than 5%, we use an linear model instead.""",https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,https://renkulab.shinyapps.io/COVID-19-Epidemic-Forecasting/,Geneva-DetGrowth
MIT-CriticalData,"This gradient boosted regressor model with hyperparameter optimization is trained on prior COVID metrics as well as demographic, socioeconomic, mobility, and health-related county-level covariates.","This model uses a gradient boosted regressor with hyperparameter optimization that uses prior COVID cases and deaths as well as demographic, socioeconomic, mobility, and healthcare related county-level covariates. This model forecasts COVID deaths at the county level and aggregates to the state and national level. This model does not directly account for state reopenings and closures but indirectly via changes in the mobility measures.",Missing,https://github.com/sakethsundar/covid-forecaster,MIT_CritData-GBCF
University of Arizona,SIR mechanistic model with data assimilation.,EpiCovDA is an extension of the EpiGro model. Model parameters are fit to Covid-19 data using a variational data assimilation method. A prior distribution of the parameters is estimated by fitting an SIR Incidence-Cumulative Cases curve to data from states that had at least 1000 cases by 04/01/2020. See <https://jocelinelega.github.io/EpiGro/> for more information about EpiGro.,Missing,https://jocelinelega.github.io/EpiGro/,UA-EpiCovDA
UCSB,This data-driven machine learning model makes predictions by referring to other regions with similar growth patterns and assuming the similar development will take place in the current region.,Missing,Missing,https://github.com/Gandor26/covid-open,UCSB-ACTS
Caltech CS156,"Aggregate of 14 machine learning (neural network, autoregressive, decision tree, etc.) and epidemiological models guided by machine learning.",Missing,Missing,http://cs156.caltech.edu,Caltech-CS156
University of Central Florida,This model leverages conventional SEIR model with mixture modeling and distilled the knowledge of complex mixture modeling system with ensemble neural networks.,Missing,Missing,https://github.com/UCF-AEM/UCF-AEM,UCF-AEM
OneQuietNight,OneQuietNight ML model uses high-level features of daily case reports and movement trends data to make predictions about future Covid-19 cases.,Missing,Missing,https://github.com/One-Quiet-Night/COVID-19-forecast,OneQuietNight-ML
"University of Chicago, Chattopadhyay Lab","Stochastic similarity via sequence likelihood divergence, General Linear Models, Tensorflow, Ensemble Regressors","We introduce the concept of a universal geo-spatial risk that strongly influences person-to-person viral transmission in the US, in effect quantifying the risk exposure of the individual US counties to diseases thattransmit like the seasonal Influenza. We call this the Universal Influenza-like Transmission (UnIT) score. This new epidemiologically informed risk score leverages subtle geospatial patterns from seasonal flu epidemics of the past, and significantly improves incidence forecasts for COVID-19. Additionally, the UnIT score emerges as the most important factor explaining observed county-specific incidence trends for COVID-19 in the US, with coefficients in multi-variate regression far outweighing those for typical co-variates. Thus, our key insight is that past incidence patterns for a different pathogen can substantially inform current projections, provided the transmission mechanisms are broadly similar. And our key technical contribution is the development of the precise algorithm to transfer this knowledge to the new context, by rigorously estimating thedivergence of hidden generators of complex stochastic phenomena from observation of short sample paths.",Missing,https://github.com/zeroknowledgediscovery/unitcov,UChicagoCHATTOPADHYAY-UnIT
Columbia University,A metapopulation county-level SEIR model for projecting future COVID-19 incidence and deaths. This forecast is the scenario we believe to be most plausible given the current setting.,"This metapopulation county-level SEIR model makes projections of future COVID-19 incidence and deaths.  We produce a number of different intervention scenarios, each assuming various interventions and rates of compliance are implemented in the future.  This submission is the selection of the weekly scenario we believe to be most plausible given current observations and planned intervention policies.  The selected scenarios are listed below: November 8 - present '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection. October 4 - November 5 '5_1xhold': This scenario assumes a one-time 5% increase in contact rates, which is applied at the start of the projection and maintained for one week.  After one week, the reproduction number R is set to 1 for the remainder of the projection. June 14 - September 27 '5_2xhold': This scenario assumes a weekly 5% increase in contact rates for two weeks.  The following week, the reproduction number R is set to 1 for the remainder of the projection.   June 7 '80contact1x5p' : This scenario assumes a weekly 20% decrease in counties with growing weekly cases and stay-at-home orders in place, and a one-time 5% increase in states that have reopened. May 7 - June 4 '80contactw5p': For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply a weekly 5% increase to the contact rate of counties in those states. May 3 '80contact1x10p': For states maintaining or increasing current social distancing restrictions, we apply a 20% weekly reductions of contact rates, as described above. However, in states that reopen, we apply a one-time 10% increase to the contact rate during the week that the state is scheduled to reopen and maintain this new increased rate for the remainder of the projection. April 12 - April 26 '70contact': This scenario mimics adaptive adjustments in contact imposed both by government regulations (e.g. school closures, restrictions on mass gatherings) and population self-regulation (e.g. isolation, mask wearing, social distancing).  Upon initiation of projections, all counties with 10 or more confirmed cases impose a 30% contact rate reduction. Each week following, if a county newly exceeds 10 confirmed cases, a 30% contact rate reduction is imposed, depending on the projection scenario. Counties that had previously exceeded 10 confirmed cases and also experience an increase in the number of weekly reported confirmed cases impose a further, multiplicative 30% contact rate reduction, depending on the projection scenario.",https://doi.org/10.1101/2020.03.21.20040303,https://blogs.cuit.columbia.edu/jls106/publications/covid-19-findings-simulations/,CU-select
Iowa State - Lily Wang's Research Group,"Spatiotemporal Dynamics, Nowcasting and Forecasting of COVID-19 in the United States.","We develop a nonparametric space-time disease transmission model for the epidemic data, and to study the spatial-temporal pattern in the spread of COVID-19 at the county level. The proposed methodology can be used to dissect the spatial structure and dynamics of spread, as well as to forecast how this outbreak may unfold through time and space in the future. The projections assume that the data used is reliable, the future will continue to follow the current pattern, and current interventions will remain the same till the end of forecasting period.",https://arxiv.org/abs/2004.14103,https://covid19.stat.iastate.edu,IowaStateLW-STEM
Johns Hopkins ID Dynamics COVID-19 Working Group,County-level metapopulation model with commuting and stochastic SEIR disease  dynamics with social-distancing indicators.,"This is a county-level metapopulation model with stochastic SEIR disease  dynamics. This model incorporates uncertainty in epidemiological parameters  and the effectiveness of state-wide intervention policies on social  distancing and stay-at-home orders. Infections are seeded stochastically  with roughly 10 times the number of confirmed cases in the first five days  of a county epidemic and R0 and the duration of the infectious period were  drawn stochastically for each county and simulation. Disease follows SEIR dynamics and county commuting data modulates the spread of disease within counties. 
Stay-at-home orders and  subsequent social distancing interventions are updated at the state-level according to recent policy documents. States that did not implement stay-at-home orders had a single social distancing intervention that began on the day of the first reported order and endured  for the whole simulation period. Intervention effects are inferred where  possible.
To model deaths and hospitalizations in the population, we incorporated  realistic but fixed time delays from infection to symptom onset to hospitalization to  ICU to ventilator use to death and used age-specific demographics to perform  a county-level age standardization of health outcome risk. Currently, we  assume a 0.25% infection fatality rate and a 7:1 ratio of incident  hospitalizations to deaths. 
For each county, we estimate the seeding time and amount, the baseline  reproductive number, the case confirmation to infection ratio, and the  effectiveness of interventions (from closing to phased reopenings). We use an  MCMC-like inference procedure that calibrates model outputs to weekly county  aggregations of incident confirmed cases and deaths as reported by USA  Facts. For the inference of the baseline reproductive number and the case  confirmation to infection ratio, hierarchical grouping terms enable sharing  of strength among counties in the same state.
Our procedure forecasts incident and cumulative deaths by incorporating the last reported data point (pre-forecast date) from USA Facts.
The estimates reported by this model incorporate uncertainty in both epidemiological parameters (e.g., R0, infectious period, time delays to health outcomes) and the effectiveness of state-wide intervention policies  on social distancing, stay-at-home orders, and phased reopenings. We submit a single calibration to forecast deaths, cases, and hospitalizations.",https://www.medrxiv.org/content/10.1101/2020.06.11.20127894v1,https://github.com/HopkinsIDD/COVIDScenarioPipeline,JHU_IDD-CovidSP
Oliver Wyman,Oliver Wyman's Pandemic Navigator provides forecasts & scenario analysis for Detected and Undetected cases and death counts following a compartmental formulation with non-stationary transition rates.,"Oliver Wyman's COVID-19 Pandemic Navigator provides forecasts and scenario analysis for Detected and Undetected cases and deaths. Our compartmental models are based on a discrete form of nonlinear differential equations, parameterized with dynamic functions (i.e. time-dependent transition rates) that incorporate: (1) the modeled effects of physical distancing and government actions; (2) evolving testing practices in terms of timeliness and scale; (3) the link to tracking and contact tracing, and (4) other region-specific characteristics. Our formulation draws on core methods from both epidemiology and physics. It is data-driven to characterize non-linear transition rates and posits underlying causal mechanisms that we have verified against mobility indices representing physical distancing in mass scale and government response actions.  Our models recalibrate daily with the arrival of new information on COVID-19.  By design, the calibration of our models use region-specific data, as the differences in the timing and execution of government restrictions, testing, population density, social behaviour norms and public responses, re-opening plans, and demographics are extremely relevant. Additional details on our approach, as well as selected forecast results, can be found at: https://pandemicnavigator.oliverwyman.com/",Missing,https://pandemicnavigator.oliverwyman.com/,OliverWyman-Navigator
BPagano,Projects infections and deaths for 223 locations using an SIR model.,"On our website we present daily projections for infections and deaths for 108 countries, 52 US states/territories,   and 63 US counties. For the US we calculate mortality rates by US region and time based on the ages of people infected in a given region. We provide the following data as a function of time and place: cumulative and daily confirmed cases, cumulative and daily deaths, confirmed case-based and death-based effective transmission ratios, fraction of populations infected and constant infections transmission ratio, probability of Covid-19 contact, mortality and undercount, and fraction of positive tests. Our projections are driven by the effective transmission ratio, Rt. More specifically we run an SIR model using deaths and another using cases resulting in Rt for deaths and Rt for cases. We use the average of these two as the starting point or driver for our projections (new: 20-10-18). For forecast how Rt will change with time, we analyze Rt change data through the course of the pandemic and apply a model of that characteristic behavior to forecast infections and deaths. UPDATE 20-10-18: Changed Rt forecast from Rt for deaths to the average of Rt for deaths and Rt for cases. UPDATE 20-10-25: Changed from Sunday forecast to the average of Friday, Saturday and Sunday forecasts. UPDATE 20-11-08: Corrected undercount calculation approach resulting in an increase in forecasted cases.",https://bobpagano.com/covid-19-modeling/,https://bobpagano.com,BPagano-RtDriven
Google Cloud AI,"Our model improves upon standard compartmental models by using temporally and spatially rich data, and integrating covariate encodings into compartment transitions via end-to-end learning.",Missing,https://arxiv.org/abs/2008.00646,https://cloud.google.com/blog/products/ai-machine-learning/google-cloud-is-releasing-the-covid-19-public-forecasts,Google_Harvard-CPF
UCLA Statistical Machine Learning Lab,The SuEIR model is a variant of the SEIR model considering both untested and unreported cases. The model considers reopening and assumes susceptible population will increase after the reopen.,"We update our model by considering the effects of reopenings. In particular, for the states that have reopened or partially reopened, we assume there is a transition from a virtual  “Quarantined/Isolated” group to the “Susceptible” group at a certain rate after the reopen date. This rate along with other model parameters are jointly estimated based on the reported data. The key feature of the SuEIR model is that it can infer the untested cases as well as unreported cases. More specifically, we treat the “Exposed” group in the SEIR model as the individuals that have already been infected and have not been tested, which are also capable of infecting the “Susceptible” group. Moreover, some of the people in the “Exposed” group can get tested and transferred to the “Infectious” group (which are reported to the public), while the rest of them will recover/die and transit to the so-called “Unreported Recovered” group (which are not reported to the public). More detailed model descriptions and projections can be found at https://covid19.uclaml.org.
Reference: Difan Zou, Lingxiao Wang, Pan Xu, Jinghui Chen, Weitong Zhang and Quanquan Gu, Epidemic Model Guided Machine Learning for COVID-19 Forecasts in the United States, medRxiv:2020.05.24.20111989, 2020.",https://www.medrxiv.org/content/10.1101/2020.05.24.20111989v1,https://covid19.uclaml.org/,UCLA-SuEIR
